"Municipality
(U) Unincorporated Place",Date,Valuation,"Valuation Including
Utilities",Municipal Tax Rate,"County Tax
Rate","State Education
Tax Rate","Local Education
Tax Rate",Total Tax Rate,Total Commitment
Thornton,11/16/23,"462,983,071","469,691,671",3.82,1.71,1.70,13.53,20.76,"10,138,680"
Tilton,12/01/23,"607,313,122","639,250,722",6.02,1.39,2.05,8.25,17.71,"12,892,205"
Troy,11/29/23,"215,790,486","239,466,286",6.41,2.40,1.13,8.14,18.08,"4,252,997"
Tuftonboro,11/13/23,"1,856,068,730","1,871,661,030",2.23,0.92,1.30,2.82,7.27,"13,444,829"
Unity,11/08/23,"134,370,385","137,342,985",9.32,2.75,1.82,16.07,29.96,"4,033,636"
Wakefield,11/09/23,"2,259,239,622","2,278,100,822",1.72,0.70,1.10,3.33,6.85,"15,302,244"
Walpole,12/11/23,"705,044,814","751,062,314",3.49,2.43,1.17,9.15,16.24,"12,888,425"
Warner,10/27/23,"319,526,750","327,540,150",10.28,2.48,1.86,17.10,31.72,"10,472,193"
Warren,11/30/23,"95,332,431","109,838,031",6.84,1.48,1.55,12.88,22.75,"2,454,231"
Washington,11/13/23,"366,471,887","370,678,338",5.19,2.30,1.33,6.41,15.23,"5,749,939"
Waterville Valley,10/09/23,"500,611,367","503,998,167",7.46,1.23,1.25,2.11,12.05,"6,061,970"
Weare,11/07/23,"1,255,309,444","1,290,670,044",3.76,1.02,1.46,12.60,18.84,"24,048,197"
Webster,11/30/23,"348,737,527","375,931,527",4.31,1.66,1.28,7.63,14.88,"5,657,632"
Wentworth,11/03/23,"124,383,085","130,659,285",8.64,1.53,1.42,13.62,25.21,"3,234,008"
Wentworth's Location (U),01/22/24,"13,683,150","13,849,850",3.45,2.16,0.97,0.49,7.07,"97,757"
Westmoreland,11/06/23,"198,510,459","201,931,559",4.49,2.87,1.46,12.47,21.29,"4,276,929"
